Country,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education
Australia,6.7,,84.0,6.1,69.0,81.0,0.6,37433.0,528768.0,19.4,3.1,85.0,7.0,1.1,55206.0,96.0,,84.0,2.7,460.0,13.65,92.0,91.0,21.0
Austria,12.2,0.8,83.0,2.4,68.0,82.0,0.5,37001.0,309637.0,20.8,2.3,84.2,7.2,1.2,53132.0,92.0,1.6,61.0,1.3,440.0,14.31,76.0,92.0,17.0
Belgium,12.8,0.7,81.0,2.6,61.0,47.0,0.8,34884.0,447607.0,20.0,2.4,84.3,6.7,2.1,54327.0,88.0,2.1,57.0,2.0,440.0,15.33,88.0,77.0,20.0
Brazil,11.7,6.7,60.0,3.6,47.0,34.0,3.3,,,,,79.6,6.4,,,86.0,,,2.2,373.0,,80.0,71.0,16.0
Canada,7.1,0.2,94.0,1.2,67.0,67.0,0.7,34421.0,478240.0,22.9,3.8,84.2,6.9,0.4,55342.0,93.0,2.6,81.0,2.9,485.0,14.47,68.0,87.0,17.0
Chile,23.4,9.4,68.0,5.0,47.0,30.0,0.7,,135787.0,18.4,7.0,83.4,6.1,,26729.0,88.0,1.9,52.0,1.3,415.0,,47.0,60.0,18.0
Colombia,22.6,12.3,61.0,17.1,45.0,45.0,4.1,,,,,79.9,5.7,1.6,,80.0,1.0,76.0,1.4,373.0,,53.0,83.0,14.0
Costa Rica,17.5,2.3,44.0,12.7,41.0,36.0,1.8,16517.0,,17.0,,83.0,6.5,2.6,,85.0,1.2,70.0,1.8,392.0,,66.0,85.0,
Czechia,17.0,0.5,93.0,2.0,67.0,77.0,0.6,26664.0,,23.4,2.3,82.2,6.9,0.6,29885.0,95.0,1.5,40.0,1.6,439.0,,62.0,86.0,18.0
Denmark,10.0,0.5,83.0,0.1,71.0,77.0,0.4,33774.0,149864.0,23.3,4.5,83.5,7.5,1.2,58430.0,95.0,1.9,62.0,2.0,462.0,,85.0,92.0,20.0
Estonia,5.9,5.7,94.0,1.4,72.0,71.0,0.6,23784.0,188627.0,17.0,5.4,83.0,6.1,1.0,30720.0,93.0,1.7,33.0,2.7,497.0,14.55,64.0,86.0,18.0
Finland,5.5,0.4,94.0,2.1,71.0,80.0,1.8,33471.0,230032.0,23.1,2.2,84.8,7.9,1.1,46230.0,97.0,1.9,54.0,2.2,483.0,15.05,69.0,97.0,20.0
France,11.4,0.5,82.0,5.2,62.0,70.0,0.3,34375.0,298639.0,20.7,3.1,85.9,6.7,2.9,45581.0,95.0,1.8,58.0,2.1,443.0,15.92,75.0,79.0,17.0
Germany,12.0,0.1,86.0,1.8,73.0,69.0,0.3,38971.0,304317.0,20.0,1.4,83.7,7.2,1.0,53745.0,90.0,1.8,49.0,1.8,450.0,15.57,76.0,92.0,18.0
Greece,14.5,0.4,78.0,2.5,47.0,59.0,0.4,20791.0,148323.0,21.8,21.7,84.2,5.7,13.4,27207.0,77.0,1.2,78.0,1.8,417.0,14.78,58.0,66.0,19.0
Hungary,16.7,3.5,84.0,0.9,70.0,65.0,0.9,21026.0,150296.0,19.9,3.8,79.7,6.0,1.1,25409.0,96.0,1.4,47.0,1.2,420.0,14.55,70.0,79.0,17.0
Iceland,6.4,0.0,78.0,5.0,75.0,78.0,1.2,,,,1.0,84.7,7.8,0.5,67488.0,99.0,1.6,66.0,2.1,437.0,,81.0,96.0,20.0
Ireland,7.8,0.2,88.0,1.7,63.0,67.0,0.1,29488.0,370341.0,20.6,2.6,84.7,7.3,1.0,49474.0,97.0,2.1,72.0,1.3,482.0,14.41,63.0,81.0,18.0
Israel,19.7,,89.0,6.8,65.0,77.0,0.7,,,,4.6,84.8,7.2,0.2,39322.0,95.0,1.2,79.0,2.5,407.0,,67.0,79.0,16.0
Italy,15.9,0.6,65.0,2.2,49.0,67.0,0.3,29431.0,295020.0,22.5,8.6,85.7,6.7,5.3,37769.0,91.0,1.4,71.0,2.5,436.0,15.52,73.0,82.0,17.0
Japan,13.7,6.4,,,71.0,69.0,0.2,28872.0,294735.0,21.8,2.7,87.5,6.1,0.5,38515.0,90.0,1.9,29.0,1.4,465.0,14.0,53.0,85.0,16.0
Korea,27.3,2.5,87.0,,57.0,77.0,0.7,24590.0,362340.0,14.7,2.9,86.3,5.5,0.0,41960.0,78.0,1.5,26.0,2.9,477.0,14.47,77.0,84.0,17.0
Latvia,12.7,11.2,93.0,1.0,70.0,61.0,1.9,19783.0,79245.0,20.8,6.3,80.1,6.0,1.7,29876.0,91.0,1.2,25.0,2.2,493.0,,55.0,83.0,19.0
